관리코드,상품명,기준상품명,마켓카테고리,식품안전유형힌트,등급,규격,산지,포장,보관,norm_key
,쥬스용 사과 / 5kg / 혼합과,쥬스용 사과,과일,과채가공품,,5kg,,,,쥬스용사과
,쥬스용 사과 / 6kg / 혼합과,쥬스용 사과,과일,과채가공품,,6kg,,,,쥬스용사과
,쥬스용 사과 / 10kg / 혼합과,쥬스용 사과,과일,과채가공품,,10kg,,,,쥬스용사과
,쥬스용 사과 / (박스포함) 5kg / 혼합과,쥬스용 사과,과일,과채가공품,,5kg,,박스,,쥬스용사과
,쥬스용 사과 / (박스포함) 10kg / 혼합과,쥬스용 사과,과일,과채가공품,,10kg,,박스,,쥬스용사과
,미색 가정용 부사 / 8kg / 꼬마 / 72-80과,미색 가정용 부사,미분류,미분류,가정용,8kg|80과,,,,미색가정용부사
,미색 가정용 부사 / 8kg / 한입 / 64-71과,미색 가정용 부사,미분류,미분류,가정용,8kg|71과,,,,미색가정용부사
,미색 가정용 부사 / 8kg / 소과 / 56-63과,미색 가정용 부사,미분류,미분류,가정용,8kg|63과,,,,미색가정용부사
,미색 가정용 부사 / 8kg / 중소과 / 48-55과,미색 가정용 부사,미분류,미분류,가정용,8kg|55과,,,,미색가정용부사
,미색 가정용 부사 / 8kg / 중과 / 40-47과,미색 가정용 부사,미분류,미분류,가정용,8kg|47과,,,,미색가정용부사
,미색 가정용 부사 / 8kg / 중대과 / 32-39과,미색 가정용 부사,미분류,미분류,가정용,8kg|39과,,,,미색가정용부사
,미색 가정용 부사 / 8kg / 대과 / 24-31과,미색 가정용 부사,미분류,미분류,가정용,8kg|31과,,,,미색가정용부사
,미색 가정용 부사 / 9kg / 꼬마 / 81-90과,미색 가정용 부사,미분류,미분류,가정용,9kg|90과,,,,미색가정용부사
,미색 가정용 부사 / 9kg / 한입 / 72-80과,미색 가정용 부사,미분류,미분류,가정용,9kg|80과,,,,미색가정용부사
,미색 가정용 부사 / 9kg / 소과 / 63-71과,미색 가정용 부사,미분류,미분류,가정용,9kg|71과,,,,미색가정용부사
,미색 가정용 부사 / 9kg / 중소과 / 54-62과,미색 가정용 부사,미분류,미분류,가정용,9kg|62과,,,,미색가정용부사
,미색 가정용 부사 / 9kg / 중과 / 45-53과,미색 가정용 부사,미분류,미분류,가정용,9kg|53과,,,,미색가정용부사
,미색 가정용 부사 / 9kg / 중대과 / 36-44과,미색 가정용 부사,미분류,미분류,가정용,9kg|44과,,,,미색가정용부사
,미색 가정용 부사 / 9kg / 대과 / 27-35과,미색 가정용 부사,미분류,미분류,가정용,9kg|35과,,,,미색가정용부사
